,id,title,runtime,budget,revenue,vote_average,vote_count,popularity
41,11443,Dead Presidents,119.0,10000000,0,6.6,80,9.87957
42,35196,Restoration,117.0,19000000,0,6.3,30,10.979269
43,9312,Mortal Kombat,101.0,18000000,122195920,5.4,452,10.870138
44,577,To Die For,106.0,20000000,21284514,6.7,177,10.448481
45,11861,How To Make An American Quilt,116.0,10000000,23574130,6.5,38,4.485958
46,807,Se7en,127.0,33000000,327311859,8.1,5915,18.45743
47,10530,Pocahontas,81.0,55000000,346079773,6.7,1509,13.280069
48,8391,When Night Is Falling,96.0,0,0,5.9,10,3.302524
49,629,The Usual Suspects,106.0,6000000,23341568,8.1,3334,16.302466
50,117164,Guardian Angel,93.0,0,0,6.3,3,0.595949
51,11448,Mighty Aphrodite,95.0,15000000,6700000,6.7,145,15.899134
52,49133,Lamerica,116.0,0,0,7.7,11,1.361286
53,26441,The Big Green,100.0,0,0,5.2,41,5.982764
54,97406,Georgia,115.0,0,0,6.1,15,4.093443
55,124057,Kids of the Round Table,89.0,0,0,3.0,1,0.307075
56,9089,Home for the Holidays,103.0,0,17519169,6.3,39,8.416802
57,11010,The Postman,108.0,0,0,7.6,181,10.168437
58,99040,The Confessional,100.0,0,0,6.5,2,0.120789
59,11359,The Indian in the Cupboard,96.0,45000000,0,5.9,136,10.673296
60,17182,Eye for an Eye,101.0,20000000,0,5.8,65,4.733526
61,2054,Mr. Holland's Opus,137.0,0,106269971,6.9,115,7.137117
62,10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,89.0,0,0,6.2,192,11.700115
63,19760,Two If by Sea,96.0,0,0,4.5,14,2.174487
64,9536,Bio-Dome,88.0,15000000,0,4.4,110,6.387469
65,11525,Lawnmower Man 2: Beyond Cyberspace,92.0,0,2409225,2.8,32,2.49535
66,40628,Two Bits,85.0,0,0,5.4,11,4.046208
67,4482,French Twist,95.0,0,0,6.0,43,2.518051
68,10634,Friday,91.0,3500000,28215918,7.0,513,14.56965
69,755,From Dusk Till Dawn,108.0,19000000,25836616,6.9,1644,15.339153
70,11859,Fair Game,91.0,50000000,11534477,4.1,54,5.912223
71,28387,Kicking and Screaming,96.0,0,718490,7.0,36,3.367276
72,48750,Les Miserables,175.0,0,0,6.6,8,1.479446
73,20927,Bed of Roses,87.0,0,19030691,5.1,27,10.412194
74,36929,Big Bully,90.0,15000000,2042530,3.9,16,2.936443
75,9102,Screamers,108.0,20000000,5781885,6.1,154,12.758848
76,124626,Nico Icon,70.0,0,0,7.3,3,0.133893
77,27526,The Crossing Guard,111.0,0,0,6.1,74,5.756462
78,9623,The Juror,118.0,44000000,0,5.5,91,6.010579
79,46785,The White Balloon,85.0,0,0,7.5,20,1.196256
80,400,Things to Do in Denver When You're Dead,116.0,8000000,529766,6.7,87,4.486179
81,880,Antonia's Line,102.0,900000,0,7.2,26,2.030174
82,146599,Once Upon a Time... When We Were Colored,115.0,0,0,4.5,2,0.252287
83,188588,Last Summer in the Hamptons,108.0,0,0,0.0,0,0.531159
84,8447,Angels and Insects,118.0,0,0,6.3,17,2.15166
85,10534,White Squall,129.0,38000000,10300000,6.3,86,9.568604
86,17414,Dunston Checks In,88.0,16000000,0,5.1,59,4.814825
87,13997,Black Sheep,87.0,0,32,6.0,124,8.963037
88,2086,Nick of Time,90.0,8169363,8175346,6.1,190,6.848591
89,61548,The Journey of August King,91.0,0,0,6.7,3,0.411424
90,9095,Mary Reilly,104.0,47000000,12379402,5.7,77,12.866139
91,12158,Vampire in Brooklyn,100.0,14000000,19800000,4.5,113,9.071127
92,9283,Beautiful Girls,112.0,0,0,6.6,103,4.670562
93,9208,Broken Arrow,108.0,50000000,150270147,5.7,459,14.957626
94,40154,A Midwinter's Tale,99.0,0,0,7.5,6,0.513391
95,406,La Haine,98.0,3000000,0,7.9,695,12.108196
96,45549,Shopping,105.0,0,0,5.6,13,2.657647
97,63076,Heidi Fleiss: Hollywood Madam,106.0,0,0,6.8,4,0.638211
98,11062,City Hall,111.0,0,0,6.0,67,4.807223
99,13685,Bottle Rocket,91.0,7000000,560069,6.8,285,6.904831
100,47475,Mr. Wrong,96.0,0,0,3.3,16,3.329264
101,2045,Unforgettable,106.0,18000000,0,5.3,22,2.464425
102,9614,Happy Gilmore,92.0,12000000,41205099,6.5,767,9.592265
103,688,The Bridges of Madison County,135.0,24000000,182016617,7.3,397,5.951077
104,11907,Nobody Loves Me,104.0,0,0,5.1,5,1.015068
105,10874,Muppet Treasure Island,100.0,0,34327391,6.5,93,6.902423
106,89333,Catwalk,95.0,0,0,7.0,2,0.976707
107,96357,Headless Body in Topless Bar,110.0,0,0,0.0,0,0.001346
108,197,Braveheart,177.0,72000000,210000000,7.7,3404,20.755149
109,103,Taxi Driver,114.0,1300000,28262574,8.1,2632,14.092713
110,33542,Rumble in the Bronx,91.0,7500000,32392047,6.5,245,12.314278
111,43566,Before and After,108.0,35000000,0,5.8,37,2.938293
112,71754,Margaret's Museum,114.0,0,0,7.5,2,0.372697
113,43612,Happiness Is in the Field,106.0,13365000,0,7.0,23,1.254885
114,51352,Anne Frank Remembered,117.0,0,1,7.3,4,0.243986
115,16934,The Young Poisoner's Handbook,99.0,0,0,6.9,19,6.178497
116,10324,If Lucy Fell,92.0,0,0,5.4,11,2.891918
117,78406,Steal Big Steal Little,113.0,25000000,6278139,5.1,7,1.522412
118,55731,Race the Sun,100.0,0,0,5.2,21,1.317878
119,32119,The Boys of St. Vincent,90.0,0,0,7.0,7,0.86539
120,11066,Boomerang,117.0,40000000,70100000,5.4,139,6.506983
121,11104,Chungking Express,102.0,0,0,7.9,249,6.778979
122,37975,The Star Maker,113.0,0,0,6.8,29,1.702639
123,2074,Flirting with Disaster,92.0,7000000,14702438,6.3,66,5.579088
124,27793,The Neverending Story III: Escape from Fantasia,95.0,17000000,0,4.4,105,6.252377
125,44284,The Silences of the Palace,116.0,0,0,4.3,3,0.406754
126,290157,Jupiter's Wife,87.0,0,0,0.0,0,0.001178
127,110972,Pie in the Sky,95.0,0,0,7.0,2,0.699066
128,32622,Angela,99.0,0,0,5.6,9,2.197439
129,73067,Frankie Starlight,101.0,0,0,5.4,4,0.637554
130,11863,Jade,95.0,50000000,9851610,5.1,45,11.418917
131,55475,Nueba Yol,102.0,0,0,5.5,1,0.291021
132,124636,Sonic Outlaws,87.0,0,0,0.0,0,0.001838
133,9101,Down Periscope,92.0,0,0,5.6,110,5.184977
134,123360,From the Journals of Jean Seberg,97.0,0,0,6.5,2,0.276401
135,5757,Man of the Year,86.0,0,209935,3.8,2,0.540436
136,39428,The Neon Bible,91.0,0,0,7.2,5,0.370342
137,124639,Target,122.0,0,0,0.0,0,0.001205
138,9302,Up Close & Personal,119.0,60000000,0,5.9,51,3.402749
139,11000,The Birdcage,117.0,31000000,185260553,6.7,303,6.49968
140,249882,Virgin Mary,125.0,0,0,7.0,2,0.918504
141,16388,The Brothers McMullen,98.0,0,0,6.3,23,2.039196
142,9737,Bad Boys,118.0,19000000,141407024,6.5,1729,9.262184
143,30765,The Amazing Panda Adventure,81.0,0,0,5.0,31,2.375865
144,10474,The Basketball Diaries,102.0,0,0,7.2,472,7.415144
145,22279,An Awfully Big Adventure,113.0,4000000,851545,6.0,11,0.922958
146,30157,Amateur,105.0,0,0,6.5,21,1.759012
147,568,Apollo 13,140.0,52000000,355237933,7.3,1637,18.761467
148,11780,Rob Roy,139.0,28000000,31596911,6.5,151,10.193549
149,34996,The Addiction,82.0,0,0,6.4,46,3.137285
150,414,Batman Forever,121.0,100000000,336529144,5.2,1529,13.321354
151,649,Belle de Jour,101.0,0,0,7.3,163,10.142662
152,1873,Beyond Rangoon,100.0,0,0,6.4,21,2.04189
153,5894,Blue in the Face,83.0,2000000,1275000,6.8,28,11.528147
154,1775,Canadian Bacon,91.0,11000000,178104,5.9,57,5.391556
155,8839,Casper,100.0,50000000,287928194,6.0,1045,12.812539
156,20649,Clockers,128.0,25000000,13071518,6.8,69,4.558992
157,10329,Congo,109.0,50000000,152022101,5.0,214,7.260574
158,8963,Crimson Tide,116.0,53000000,157387195,7.0,508,8.657365
159,26564,Crumb,119.0,0,3174695,7.6,71,3.620388
160,8068,Desperado,104.0,7000000,25405445,6.8,898,6.950458
161,8512,Devil in a Blue Dress,102.0,27000000,16140822,6.3,88,4.646132
162,1572,Die Hard: With a Vengeance,128.0,90000000,366101666,6.9,2094,15.138855
163,13552,The Doom Generation,80.0,0,0,5.6,57,7.120806
164,259209,Feast of July,116.0,0,0,0.0,0,0.523575
165,6520,First Knight,134.0,55000000,127600435,5.9,319,15.178338
166,9073,Free Willy 2 - The Adventure Home,95.0,0,0,5.5,130,7.575098
167,10428,Hackers,107.0,20000000,7563728,6.2,406,14.810519
168,17447,Jeffrey,92.0,0,0,6.5,19,3.196456
169,9886,Johnny Mnemonic,97.0,25000000,19075720,5.5,380,11.715868
170,9482,Judge Dredd,96.0,90000000,113493481,5.4,643,8.184815
171,19326,Jury Duty,88.0,0,17014653,4.0,34,3.676921
172,9344,Kids,91.0,1500000,7412216,6.8,280,4.877872
173,9071,Living in Oblivion,89.0,500000,1148752,7.2,64,10.058329
174,8973,Lord of Illusions,119.0,0,0,5.9,87,4.102409
175,15730,Love & Human Remains,100.0,0,0,7.0,7,0.354014
176,47608,Mad Love,95.0,0,15453274,5.5,27,2.624771
177,2293,Mallrats,94.0,6000000,2122561,6.8,400,8.25547
178,9070,Mighty Morphin Power Rangers: The Movie,92.0,15000000,66000000,5.2,153,7.024227
179,68274,Moonlight and Valentino,100.0,0,0,5.6,10,1.01115
180,48787,Mute Witness,95.0,2,1,6.4,36,2.466066
181,34574,Nadja,93.0,0,0,5.9,12,7.720056
182,1642,The Net,114.0,22000000,110627965,5.6,359,13.304342
183,11472,Nine Months,103.0,0,69660733,5.5,171,8.482834
184,36196,Party Girl,94.0,150000,472370,5.8,14,1.165039
185,11980,The Prophecy,98.0,8,16,6.4,139,10.187623
186,58372,Reckless,91.0,0,0,10.0,1,0.119713
187,32646,Safe,119.0,0,0,7.2,62,8.180047
188,10533,The Scarlet Letter,135.0,50000000,10382407,5.5,111,6.752119
190,10802,Showgirls,128.0,45000000,20350754,4.9,261,17.502375
191,10149,Smoke,112.0,7000000,8349430,7.2,115,5.552946
192,18402,Something to Talk About,106.0,0,50892160,5.7,60,3.743212
193,9348,Species,108.0,35000000,113374103,5.5,457,13.492845
194,139408,The Stars Fell on Henrietta,109.0,0,0,6.6,6,0.913522
195,281,Strange Days,145.0,42000000,7959291,6.8,334,11.223055
196,5967,The Umbrellas of Cherbourg,91.0,0,0,7.6,119,8.133881
197,79593,The Tie That Binds,99.0,14000000,5780000,4.6,9,1.820419
198,47939,Three Wishes,115.0,0,7025496,6.1,18,11.002046
199,36834,Total Eclipse,111.0,0,339889,6.5,112,4.546552
200,9090,"To Wong Foo, Thanks for Everything! Julie Newmar",105.0,0,47774193,6.3,117,7.653446
201,3512,Under Siege 2: Dark Territory,100.0,60000000,104324083,5.6,217,7.490247
202,52856,Unstrung Heroes,93.0,0,0,6.4,9,2.881689
203,77350,Unzipped,73.0,0,0,6.0,6,0.786023
204,9560,A Walk in the Clouds,103.0,20000000,50012507,6.5,168,9.715639
205,9804,Waterworld,135.0,175000000,264218220,5.9,1017,16.885184
206,31611,White Man's Burden,89.0,8000000,0,5.1,25,1.834099
207,65796,Wild Bill,98.0,30000000,0,5.9,27,8.922139
208,49805,The Browning Version,97.0,0,0,6.0,11,3.727644
209,26258,Bushwhacked,90.0,0,0,4.9,29,3.287036
210,50797,Burnt by the Sun,135.0,2800000,2616503,6.7,35,2.486073
211,19155,Before the Rain,113.0,0,763847,7.7,45,3.525649
212,76,Before Sunrise,105.0,2500000,5535405,7.7,984,11.304979
213,11017,Billy Madison,89.0,10000000,26488734,6.2,464,6.638116
214,37141,The Babysitter,90.0,0,0,4.7,27,2.761837
215,9382,Boys on the Side,115.0,21000000,23450000,6.3,48,3.030309
216,6715,The Cure,97.0,0,0,7.2,58,2.686342
217,18256,Castle Freak,95.0,0,0,5.8,40,2.26977
218,22625,Circle of Friends,103.0,0,0,6.5,30,2.605521
219,2292,Clerks,92.0,27000,3151130,7.4,769,10.513367
220,1909,Don Juan DeMarco,97.0,25000000,22200000,6.3,184,7.438934
221,8984,Disclosure,123.0,55000000,214015089,5.9,217,11.812244
222,61813,Dream Man,97.53048244599658,0,0,2.5,1,0.155859
223,4954,Drop Zone,101.0,45000000,0,5.1,91,9.579155
224,62488,Destiny Turns on the Radio,97.53048244599658,0,0,5.3,9,0.710671
225,10531,Death and the Maiden,103.0,0,0,7.1,92,5.484156
226,11929,Dolores Claiborne,132.0,0,0,7.1,183,5.8025
227,8467,Dumb and Dumber,107.0,16000000,247275374,6.5,1894,9.844558
228,10451,Eat Drink Man Woman,123.0,0,7294403,7.5,76,4.860016
229,20156,Exotica,103.0,0,0,6.5,64,5.378467
230,18395,Exit to Eden,113.0,0,6841570,4.3,28,4.322726
231,522,Ed Wood,127.0,18000000,5887457,7.3,639,11.720358
232,397,French Kiss,111.0,0,0,6.2,179,9.146544
233,10525,Forget Paris,101.0,0,0,6.1,38,16.236745
234,27985,Far from Home: The Adventures of Yellow Dog,87.0,0,0,5.6,27,2.657337
235,15789,A Goofy Movie,78.0,0,35348597,6.7,404,10.177977
236,27303,Hideaway,103.0,15000000,12201255,5.0,24,8.182165
237,21183,Fluke,96.0,0,0,6.6,48,4.953936
238,10954,Farinelli,111.0,0,0,5.9,20,8.935058
239,47867,Gordy,90.0,0,3992809,3.0,4,0.398924
240,43475,Gumby: The Movie,77.0,0,0,5.0,2,0.090452
241,72031,The Glass Shield,109.0,0,0,5.4,9,1.012197
242,14275,Hoop Dreams,171.0,700000,7830611,7.7,91,9.47666
243,1024,Heavenly Creatures,99.0,5000000,3049135,6.9,299,9.438042
244,17207,Houseguest,113.0,10500000,26325256,6.0,17,2.688562
245,13701,Immortal Beloved,121.0,120,0,6.9,90,7.983666
246,14819,Heavyweights,100.0,0,17689177,6.0,97,9.546707
247,32631,The Hunted,106.0,0,0,6.0,25,2.756986
248,11777,I.Q.,100.0,25000000,0,5.9,112,5.146352
249,628,Interview with the Vampire,123.0,60000000,223664608,7.2,1558,11.970205
250,87729,Jefferson in Paris,139.0,14000000,2474000,5.2,10,1.596058
251,18713,The Jerky Boys,82.0,0,0,4.8,10,0.748846
252,6280,Junior,109.0,60000000,37000000,4.7,381,6.710215
253,9061,Just Cause,102.0,0,0,6.0,124,9.195256
254,37108,A Kid in King Arthur's Court,89.0,0,0,4.3,40,5.874511
255,6071,Kiss of Death,101.0,40000000,0,5.7,83,7.797512
256,11,Star Wars,121.0,11000000,775398007,8.1,6778,42.149697
257,9587,Little Women,115.0,18000000,0,7.0,222,9.774994
258,19101,A Little Princess,97.0,17000000,0,7.4,207,7.731725
259,49980,Ladybird Ladybird,101.0,0,0,7.4,14,0.84508
260,17961,L'Enfer,100.0,10000000,0,6.6,22,1.948315
261,18183,Like Water for Chocolate,105.0,2000000,21665468,6.6,70,4.126083
262,4476,Legends of the Fall,133.0,30000000,160638883,7.2,636,12.199047
263,11008,Major Payne,95.0,0,0,6.1,164,9.253362
264,47504,Little Odessa,98.0,0,0,6.4,31,1.861292
265,32325,Mi Vida Loca,92.0,0,0,5.7,9,1.788829
266,43742,Love Affair,108.0,60000000,0,4.3,11,3.290192
267,28313,Losing Isaiah,106.0,17000000,7603766,6.4,28,7.698526
268,11318,The Madness of King George,107.0,0,0,6.7,67,4.81307
269,3036,Mary Shelley's Frankenstein,123.0,45000000,112006296,6.1,272,14.287753
270,40490,Man of the House,96.0,0,0,5.1,40,2.558118
271,24070,Mixed Nuts,97.0,15000000,0,5.2,37,2.899608
272,8986,Milk Money,108.0,0,18137661,5.6,49,3.770115
273,10510,Miracle on 34th Street,114.0,0,46264384,6.4,199,5.831622
274,17402,Miami Rhapsody,95.0,6,5,5.6,7,1.137266
275,38722,My Family,128.0,5500000,0,7.0,11,3.121288
276,8438,Murder in the First,122.0,0,17381942,6.9,140,9.518564
277,11593,Nobody's Fool,110.0,0,0,7.0,56,2.891269
278,1945,Nell,112.0,31000000,106683817,6.1,128,5.930957
279,39310,New Jersey Drive,98.0,0,0,6.9,7,0.629955
280,109560,New York Cop,93.0,0,0,0.0,0,0.004537
281,56428,Beyond Bedlam,89.0,4800000,0,4.0,4,0.426952
282,63105,Nemesis 2 - Nebula,83.0,0,0,4.6,10,1.466491
283,131957,Nina Takes a Lover,100.0,0,0,7.4,4,0.769522
284,241,Natural Born Killers,119.0,34000000,50282766,6.9,927,11.226856
285,9058,Only You,115.0,0,0,6.4,92,4.936761
286,527,Once Were Warriors,99.0,0,2201126,7.6,106,4.025276
287,18220,Poison Ivy II: Lily,106.0,0,0,4.6,32,6.448039
288,6950,Outbreak,127.0,50000000,189859560,6.4,522,13.676444
289,101,Leon: The Professional,110.0,16000000,45284974,8.2,4293,20.477329
290,63020,The Perez Family,113.0,11000000,2832826,6.6,9,1.433544
291,2307,A Pyromaniac's Love Story,94.0,0,0,7.0,2,0.463307
292,680,Pulp Fiction,154.0,8000000,213928762,8.3,8670,140.950236
293,41478,Panther,124.0,0,6834525,6.4,6,7.160149
294,25296,Pushing Hands,105.0,400000,152322,6.1,9,1.638622
295,40156,Priest,98.0,0,4176932,6.4,32,1.881932
296,11450,Quiz Show,133.0,0,0,7.1,262,7.772505
297,30304,Picture Bride,94.0,0,0,7.4,5,1.296912
298,10452,Queen Margot,162.0,0,0,7.0,67,4.405405
299,12106,The Quick and the Dead,107.0,32000000,18552460,6.2,431,7.54701
300,161495,Roommates,108.0,22000000,12400000,6.4,7,3.395867
301,3586,Prêt-à-Porter,133.0,15000000,11300653,5.3,33,6.259433
302,110,Three Colors: Red,99.0,0,0,7.8,246,7.832755
303,108,Three Colors: Blue,98.0,0,0,7.7,311,8.843517
304,109,Three Colors: White,91.0,0,0,7.3,218,6.5898
305,159185,"Red Firecracker, Green Firecracker",111.0,0,0,7.0,2,0.078257
306,36357,Rent-a-Kid,85.0,0,0,5.1,15,1.155255
307,92769,Relative Fear,90.0,0,0,4.7,3,0.499601
308,28033,Stuart Saves His Family,95.0,0,0,5.0,6,1.390885
309,22586,The Swan Princess,89.0,35000000,9771658,6.5,251,8.910462
310,14334,The Secret of Roan Inish,97.0,0,0,6.1,15,1.750481
311,2636,The Specialist,110.0,45000000,170362582,5.5,317,10.388183
312,2164,Stargate,121.0,55000000,196567262,6.8,942,13.328924
313,11395,The Santa Clause,97.0,22000000,189833357,6.3,501,9.665424
314,278,The Shawshank Redemption,142.0,25000000,28341469,8.5,8358,51.645403
315,9905,Shallow Grave,92.0,0,0,7.0,247,8.223026
316,87078,Suture,96.0,0,102780,6.0,7,1.298224
317,12527,Strawberry and Chocolate,108.0,0,0,7.1,16,1.777197
318,20306,Swimming with Sharks,101.0,0,0,6.7,104,5.869261
319,36614,The Sum of Us,100.0,32,0,6.0,21,1.407427
320,27993,Senior Trip,91.0,0,0,5.7,23,5.05806
321,31439,To Live,125.0,0,0,7.7,62,5.260627
322,9067,Tank Girl,98.0,25000000,4064495,5.5,140,7.602087
323,9059,Tales from the Crypt: Demon Knight,92.0,0,0,6.7,96,9.455342
324,193,Star Trek: Generations,118.0,38000000,120000000,6.4,461,8.105708
325,25066,Tales from the Hood,98.0,6000000,12000000,5.4,33,2.86007
326,46797,Tom & Viv,115.0,0,0,5.8,8,0.704204
327,12122,Village of the Damned,99.0,0,0,5.6,165,6.529879
328,11381,Tommy Boy,97.0,0,32648673,6.8,321,11.971318
329,32636,Vanya on 42nd Street,119.0,0,0,6.1,15,7.039846
330,36141,The Underneath,99.0,6500000,0,5.6,15,2.059771
331,95963,The Walking Dead,88.0,0,0,6.6,4,0.620873
332,1587,What's Eating Gilbert Grape,118.0,11000000,10032765,7.5,943,10.3919
333,9271,Virtuosity,106.0,30000000,24048000,5.4,163,5.188399
334,2064,While You Were Sleeping,103.0,17000000,182057016,6.5,340,15.783615
335,19855,The War,126.0,0,0,6.3,39,3.908596
336,60855,Double Happiness,87.0,0,759393,5.5,2,0.372239
337,236,Muriel's Wedding,106.0,3000000,15119639,6.9,104,5.254847
338,48287,The Baby-Sitters Club,94.0,0,0,5.3,23,2.15805
339,3049,Ace Ventura: Pet Detective,86.0,15000000,107217396,6.4,1684,11.247957
340,2759,"The Adventures of Priscilla, Queen of the Desert",104.0,0,11220670,7.2,174,8.328596
341,12635,Backbeat,100.0,0,0,6.2,37,2.487951
342,10497,Bitter Moon,139.0,5000000,1862805,7.0,115,11.298195
343,11382,Bullets Over Broadway,98.0,0,0,7.0,130,5.72288
344,9331,Clear and Present Danger,141.0,62000000,215887717,6.4,390,7.513245
345,10731,The Client,119.0,45000000,117615211,6.4,287,15.263829
346,10464,"Corrina, Corrina",115.0,0,0,6.4,83,6.924689
347,34152,Crooklyn,115.0,0,0,6.7,31,2.533022
348,9495,The Crow,102.0,15000000,94000000,7.3,980,15.799336
349,29973,Cobb,128.0,0,1007583,6.1,29,2.583363
350,888,The Flintstones,91.0,46000000,341631208,5.0,559,15.019586
351,13,Forrest Gump,142.0,55000000,677945399,8.2,8147,48.307194
352,712,Four Weddings and a Funeral,117.0,6000000,254700832,6.6,654,8.990345
353,16295,Higher Learning,127.0,0,38290723,6.4,49,7.817811
354,48992,I Like It Like That,104.0,0,1777020,6.3,4,0.289295
355,10879,I Love Trouble,123.0,45000000,61947267,5.3,41,3.570874
356,10660,It Could Happen to You,101.0,0,0,6.1,154,11.272073
357,10714,The Jungle Book,111.0,0,0,5.9,107,10.714235
358,41647,"The Wonderful, Horrible Life of Leni Riefenstahl",180.0,0,449707,7.3,5,0.568884
359,8587,The Lion King,89.0,45000000,788241776,8.0,5520,21.605761
360,1689,Little Buddha,140.0,35000000,4858139,6.0,76,5.681522
361,11596,New Nightmare,112.0,14000000,18090181,6.4,297,9.860522
362,854,The Mask,101.0,23000000,351583407,6.6,2550,14.13488
363,9359,Maverick,127.0,0,0,6.6,490,15.050326
364,23333,Mrs. Parker and the Vicious Circle,125.0,0,0,6.3,20,4.739054
365,36593,The Naked Gun 33⅓: The Final Insult,83.0,30000000,51132598,6.4,535,10.587232
366,12280,The Paper,112.0,6000000,0,6.1,40,4.006063
367,2788,Reality Bites,99.0,11500000,20079850,6.5,180,6.514592
368,10427,Red Rock West,98.0,8000000,2000000,6.4,71,5.137903
369,11011,Ri¢hie Ri¢h,95.0,40000000,0,5.4,426,6.595255
370,49803,Safe Passage,98.0,0,0,4.9,7,4.931565
371,8987,The River Wild,111.0,45000000,0,6.1,214,10.511241
372,1637,Speed,116.0,30000000,350448145,6.8,1814,10.859292
373,15128,Speechless,99.0,0,0,5.5,24,2.334226
374,8831,Timecop,99.0,27000000,101646581,5.5,288,8.907074
375,36955,True Lies,141.0,115000000,378882411,6.8,1138,11.396099
376,10449,When a Man Loves a Woman,126.0,0,50021959,6.0,71,4.322544
377,10395,Wolf,125.0,0,0,6.0,221,14.063845
378,12160,Wyatt Earp,191.0,63000000,25052000,6.5,203,9.277147
379,40480,Bad Company,108.0,0,0,4.9,12,0.912415
380,52038,A Man of No Importance,99.0,0,953,6.5,2,0.406113
381,29444,S.F.W.,96.0,0,0,6.1,22,2.504529
382,26352,A Low Down Dirty Shame,100.0,10000000,29392418,6.0,31,3.021526
383,39953,"Boys Life: Three Stories of Love, Lust, and Liberation",91.0,0,0,2.0,1,0.054148
384,41580,Colonel Chabert,110.0,0,0,5.9,9,0.934312
385,315,"Faster, Pussycat! Kill! Kill!",83.0,45000,0,6.5,59,4.220541
386,22067,Jason's Lyric,119.0,7000000,20851521,5.9,9,0.912909
387,18242,The Secret Adventures of Tom Thumb,61.0,0,0,7.1,8,0.381704
388,11667,Street Fighter,102.0,35000000,99423521,4.1,330,13.58449
389,32502,Coldblooded,92.0,0,0,6.7,13,2.342756
390,267188,Desert Winds,97.0,0,0,0.0,0,0.251223
391,28732,Fall Time,88.0,0,0,6.3,6,1.108494
392,75555,The Fear,98.0,0,0,3.4,7,0.268043
393,42981,Frank and Ollie,89.0,0,0,7.5,4,0.142357
394,278939,Girl in the Cadillac,89.0,0,0,10.0,1,0.405392
395,291731,Homage,97.0,0,0,0.0,0,0.014925
396,226229,Mirage,92.0,0,0,4.0,1,0.302957
397,203119,Open Season,97.0,0,0,0.0,0,0.012456
398,172923,Dos Crímenes,97.53048244599658,0,0,5.0,1,0.233376
399,316098,Brother Minister: The Assassination of Malcolm X,115.0,0,0,4.0,1,0.0368
400,8011,Highlander: The Final Dimension,99.0,26000000,36800000,4.5,110,6.866634
401,171857,Federal Hill,97.0,0,0,5.0,2,0.100685
402,2654,In the Mouth of Madness,95.0,8000000,8946600,7.1,307,8.497643
403,18069,8 Seconds,105.0,0,0,7.2,22,1.888534
404,19092,Above the Rim,96.0,0,0,6.7,40,4.38154
405,2758,Addams Family Values,94.0,0,48919043,6.5,537,17.555909
