,id,title,english_lang,foreign_lang,US_film,foreign_film,international
117,78406,Steal Big Steal Little,1,0,1,0,0
118,55731,Race the Sun,1,0,1,0,0
119,32119,The Boys of St. Vincent,1,0,0,1,0
120,11066,Boomerang,1,0,1,0,0
121,11104,Chungking Express,0,1,0,1,0
122,37975,The Star Maker,0,1,0,1,0
123,2074,Flirting with Disaster,1,0,1,0,0
124,27793,The Neverending Story III: Escape from Fantasia,1,0,0,0,1
125,44284,The Silences of the Palace,0,1,0,0,1
126,290157,Jupiter's Wife,1,0,0,0,0
127,110972,Pie in the Sky,1,0,0,0,0
128,32622,Angela,1,0,1,0,0
129,73067,Frankie Starlight,0,1,0,0,1
130,11863,Jade,1,0,1,0,0
131,55475,Nueba Yol,0,1,0,1,0
132,124636,Sonic Outlaws,1,0,1,0,0
133,9101,Down Periscope,1,0,1,0,0
134,123360,From the Journals of Jean Seberg,1,0,1,0,0
135,5757,Man of the Year,1,0,1,0,0
136,39428,The Neon Bible,1,0,0,1,0
137,124639,Target,1,0,0,0,0
138,9302,Up Close & Personal,1,0,1,0,0
139,11000,The Birdcage,1,0,1,0,0
140,249882,Virgin Mary,1,0,0,0,1
141,16388,The Brothers McMullen,1,0,1,0,0
142,9737,Bad Boys,1,0,1,0,0
143,30765,The Amazing Panda Adventure,1,0,1,0,0
144,10474,The Basketball Diaries,1,0,1,0,0
145,22279,An Awfully Big Adventure,1,0,0,1,0
146,30157,Amateur,1,0,0,0,1
147,568,Apollo 13,1,0,1,0,0
148,11780,Rob Roy,1,0,0,0,1
149,34996,The Addiction,1,0,1,0,0
150,414,Batman Forever,1,0,0,0,1
151,649,Belle de Jour,0,1,0,0,1
152,1873,Beyond Rangoon,1,0,0,0,0
153,5894,Blue in the Face,1,0,1,0,0
154,1775,Canadian Bacon,1,0,0,0,1
155,8839,Casper,1,0,1,0,0
156,20649,Clockers,1,0,1,0,0
157,10329,Congo,1,0,1,0,0
158,8963,Crimson Tide,1,0,1,0,0
159,26564,Crumb,1,0,1,0,0
160,8068,Desperado,1,0,1,0,0
161,8512,Devil in a Blue Dress,1,0,1,0,0
162,1572,Die Hard: With a Vengeance,1,0,1,0,0
163,13552,The Doom Generation,1,0,0,0,1
164,259209,Feast of July,1,0,0,0,0
165,6520,First Knight,1,0,1,0,0
166,9073,Free Willy 2 - The Adventure Home,1,0,0,0,1
167,10428,Hackers,1,0,1,0,0
168,17447,Jeffrey,1,0,1,0,0
169,9886,Johnny Mnemonic,1,0,0,0,1
170,9482,Judge Dredd,1,0,1,0,0
171,19326,Jury Duty,1,0,1,0,0
172,9344,Kids,1,0,1,0,0
173,9071,Living in Oblivion,1,0,1,0,0
174,8973,Lord of Illusions,1,0,1,0,0
175,15730,Love & Human Remains,1,0,0,1,0
176,47608,Mad Love,1,0,1,0,0
177,2293,Mallrats,1,0,1,0,0
178,9070,Mighty Morphin Power Rangers: The Movie,1,0,0,0,1
179,68274,Moonlight and Valentino,1,0,0,0,1
180,48787,Mute Witness,1,0,0,0,1
181,34574,Nadja,1,0,1,0,0
182,1642,The Net,1,0,1,0,0
183,11472,Nine Months,1,0,1,0,0
184,36196,Party Girl,1,0,1,0,0
185,11980,The Prophecy,1,0,1,0,0
186,58372,Reckless,1,0,1,0,0
187,32646,Safe,1,0,0,0,1
188,10533,The Scarlet Letter,1,0,1,0,0
190,10802,Showgirls,1,0,0,0,1
191,10149,Smoke,1,0,0,0,1
192,18402,Something to Talk About,1,0,1,0,0
193,9348,Species,1,0,1,0,0
194,139408,The Stars Fell on Henrietta,1,0,1,0,0
195,281,Strange Days,1,0,1,0,0
196,5967,The Umbrellas of Cherbourg,0,1,0,0,1
197,79593,The Tie That Binds,1,0,1,0,0
198,47939,Three Wishes,1,0,1,0,0
199,36834,Total Eclipse,1,0,0,0,1
200,9090,"To Wong Foo, Thanks for Everything! Julie Newmar",1,0,1,0,0
201,3512,Under Siege 2: Dark Territory,1,0,1,0,0
202,52856,Unstrung Heroes,1,0,0,0,0
203,77350,Unzipped,1,0,1,0,0
204,9560,A Walk in the Clouds,1,0,1,0,0
205,9804,Waterworld,1,0,1,0,0
206,31611,White Man's Burden,1,0,0,0,1
207,65796,Wild Bill,1,0,0,0,0
208,49805,The Browning Version,1,0,0,1,0
209,26258,Bushwhacked,1,0,1,0,0
210,50797,Burnt by the Sun,0,1,0,0,1
211,19155,Before the Rain,1,0,0,0,1
212,76,Before Sunrise,1,0,0,0,1
213,11017,Billy Madison,1,0,1,0,0
214,37141,The Babysitter,1,0,1,0,0
215,9382,Boys on the Side,1,0,0,0,1
216,6715,The Cure,1,0,1,0,0
217,18256,Castle Freak,1,0,1,0,0
218,22625,Circle of Friends,1,0,0,0,1
219,2292,Clerks,1,0,1,0,0
220,1909,Don Juan DeMarco,1,0,1,0,0
221,8984,Disclosure,1,0,1,0,0
222,61813,Dream Man,1,0,1,0,1
223,4954,Drop Zone,1,0,1,0,0
224,62488,Destiny Turns on the Radio,0,1,1,0,0
225,10531,Death and the Maiden,1,0,1,0,1
226,11929,Dolores Claiborne,1,0,1,0,0
227,8467,Dumb and Dumber,1,0,1,0,0
228,10451,Eat Drink Man Woman,0,1,0,0,1
229,20156,Exotica,1,0,0,1,0
230,18395,Exit to Eden,1,0,1,0,0
231,522,Ed Wood,1,0,1,0,0
232,397,French Kiss,1,0,0,0,1
233,10525,Forget Paris,1,0,1,0,0
234,27985,Far from Home: The Adventures of Yellow Dog,1,0,1,0,0
235,15789,A Goofy Movie,1,0,1,0,0
236,27303,Hideaway,1,0,1,0,0
237,21183,Fluke,1,0,1,0,0
238,10954,Farinelli,0,1,0,0,1
239,47867,Gordy,1,0,1,0,0
240,43475,Gumby: The Movie,1,0,0,0,0
241,72031,The Glass Shield,1,0,1,0,1
242,14275,Hoop Dreams,1,0,1,0,0
243,1024,Heavenly Creatures,1,0,0,1,0
244,17207,Houseguest,1,0,0,0,0
245,13701,Immortal Beloved,1,0,1,0,0
246,14819,Heavyweights,1,0,1,0,0
247,32631,The Hunted,1,0,1,0,0
248,11777,I.Q.,1,0,1,0,0
249,628,Interview with the Vampire,1,0,1,0,0
250,87729,Jefferson in Paris,1,0,1,0,0
251,18713,The Jerky Boys,1,0,1,0,0
252,6280,Junior,1,0,1,0,0
253,9061,Just Cause,1,0,1,0,0
254,37108,A Kid in King Arthur's Court,1,0,0,0,0
255,6071,Kiss of Death,1,0,1,0,0
256,11,Star Wars,1,0,1,0,0
257,9587,Little Women,1,0,1,0,0
258,19101,A Little Princess,1,0,1,0,0
259,49980,Ladybird Ladybird,1,0,0,1,0
260,17961,L'Enfer,0,1,0,1,0
261,18183,Like Water for Chocolate,0,1,0,1,0
262,4476,Legends of the Fall,1,0,1,0,0
263,11008,Major Payne,1,0,1,0,0
264,47504,Little Odessa,1,0,1,0,0
265,32325,Mi Vida Loca,1,0,1,0,0
266,43742,Love Affair,1,0,1,0,0
267,28313,Losing Isaiah,1,0,1,0,0
268,11318,The Madness of King George,1,0,0,1,0
269,3036,Mary Shelley's Frankenstein,1,0,0,0,1
270,40490,Man of the House,1,0,0,0,0
271,24070,Mixed Nuts,1,0,1,0,0
272,8986,Milk Money,1,0,1,0,0
273,10510,Miracle on 34th Street,1,0,1,0,0
274,17402,Miami Rhapsody,1,0,1,0,0
275,38722,My Family,1,0,1,0,0
276,8438,Murder in the First,1,0,0,0,1
277,11593,Nobody's Fool,1,0,1,0,0
278,1945,Nell,1,0,1,0,0
279,39310,New Jersey Drive,1,0,1,0,0
280,109560,New York Cop,1,0,0,0,1
281,56428,Beyond Bedlam,1,0,0,1,0
282,63105,Nemesis 2 - Nebula,1,0,1,0,0
283,131957,Nina Takes a Lover,1,0,0,0,0
284,241,Natural Born Killers,1,0,1,0,0
285,9058,Only You,1,0,1,0,0
286,527,Once Were Warriors,1,0,0,1,0
287,18220,Poison Ivy II: Lily,1,0,1,0,0
288,6950,Outbreak,1,0,1,0,0
289,101,Leon: The Professional,0,1,0,0,1
290,63020,The Perez Family,1,0,1,0,0
291,2307,A Pyromaniac's Love Story,1,0,1,0,0
292,680,Pulp Fiction,1,0,1,0,0
293,41478,Panther,1,0,0,0,1
294,25296,Pushing Hands,0,1,0,1,0
295,40156,Priest,1,0,0,1,0
296,11450,Quiz Show,1,0,1,0,0
297,30304,Picture Bride,1,0,0,0,1
298,10452,Queen Margot,0,1,0,0,1
299,12106,The Quick and the Dead,1,0,0,0,1
300,161495,Roommates,0,1,1,0,0
301,3586,Prêt-à-Porter,1,0,1,0,0
302,110,Three Colors: Red,0,1,0,0,1
303,108,Three Colors: Blue,0,1,0,0,1
304,109,Three Colors: White,0,1,0,0,1
305,159185,"Red Firecracker, Green Firecracker",0,1,0,0,1
306,36357,Rent-a-Kid,1,0,1,0,0
307,92769,Relative Fear,1,0,0,1,0
308,28033,Stuart Saves His Family,1,0,0,0,1
309,22586,The Swan Princess,1,0,1,0,0
310,14334,The Secret of Roan Inish,1,0,0,0,1
311,2636,The Specialist,1,0,0,0,1
312,2164,Stargate,1,0,0,0,1
313,11395,The Santa Clause,1,0,1,0,0
314,278,The Shawshank Redemption,1,0,1,0,0
315,9905,Shallow Grave,1,0,0,1,0
316,87078,Suture,1,0,1,0,0
317,12527,Strawberry and Chocolate,0,1,0,0,1
318,20306,Swimming with Sharks,1,0,1,0,0
319,36614,The Sum of Us,1,0,0,1,0
320,27993,Senior Trip,1,0,0,0,1
321,31439,To Live,0,1,0,0,1
322,9067,Tank Girl,1,0,1,0,0
323,9059,Tales from the Crypt: Demon Knight,1,0,1,0,0
324,193,Star Trek: Generations,1,0,1,0,0
325,25066,Tales from the Hood,1,0,1,0,0
326,46797,Tom & Viv,1,0,0,0,1
327,12122,Village of the Damned,1,0,1,0,0
328,11381,Tommy Boy,1,0,1,0,0
329,32636,Vanya on 42nd Street,1,0,1,0,0
330,36141,The Underneath,1,0,1,0,0
331,95963,The Walking Dead,1,0,1,0,0
332,1587,What's Eating Gilbert Grape,1,0,1,0,0
333,9271,Virtuosity,1,0,1,0,0
334,2064,While You Were Sleeping,1,0,1,0,0
335,19855,The War,1,0,1,0,0
336,60855,Double Happiness,1,0,0,1,0
337,236,Muriel's Wedding,1,0,0,0,1
338,48287,The Baby-Sitters Club,1,0,1,0,0
339,3049,Ace Ventura: Pet Detective,1,0,1,0,0
340,2759,"The Adventures of Priscilla, Queen of the Desert",1,0,0,1,0
341,12635,Backbeat,1,0,0,0,1
342,10497,Bitter Moon,1,0,0,0,1
343,11382,Bullets Over Broadway,1,0,1,0,0
344,9331,Clear and Present Danger,1,0,1,0,0
345,10731,The Client,1,0,1,0,0
346,10464,"Corrina, Corrina",1,0,1,0,0
347,34152,Crooklyn,1,0,1,0,0
348,9495,The Crow,1,0,1,0,0
349,29973,Cobb,1,0,1,0,0
350,888,The Flintstones,1,0,1,0,0
351,13,Forrest Gump,1,0,1,0,0
352,712,Four Weddings and a Funeral,1,0,0,1,0
353,16295,Higher Learning,1,0,1,0,0
354,48992,I Like It Like That,1,0,1,0,0
355,10879,I Love Trouble,1,0,1,0,0
356,10660,It Could Happen to You,1,0,1,0,0
357,10714,The Jungle Book,1,0,1,0,0
358,41647,"The Wonderful, Horrible Life of Leni Riefenstahl",1,0,0,0,1
359,8587,The Lion King,1,0,1,0,0
360,1689,Little Buddha,1,0,0,0,1
361,11596,New Nightmare,1,0,1,0,0
362,854,The Mask,1,0,1,0,0
363,9359,Maverick,1,0,1,0,0
364,23333,Mrs. Parker and the Vicious Circle,1,0,1,0,0
365,36593,The Naked Gun 33⅓: The Final Insult,1,0,1,0,0
366,12280,The Paper,1,0,1,0,0
367,2788,Reality Bites,1,0,1,0,0
368,10427,Red Rock West,1,0,1,0,0
369,11011,Ri¢hie Ri¢h,1,0,1,0,0
370,49803,Safe Passage,1,0,1,0,0
371,8987,The River Wild,1,0,1,0,0
372,1637,Speed,1,0,1,0,0
373,15128,Speechless,1,0,1,0,0
374,8831,Timecop,1,0,0,0,1
375,36955,True Lies,1,0,1,0,0
376,10449,When a Man Loves a Woman,1,0,1,0,0
377,10395,Wolf,1,0,1,0,0
378,12160,Wyatt Earp,1,0,1,0,0
379,40480,Bad Company,1,0,1,0,0
380,52038,A Man of No Importance,1,0,0,0,1
381,29444,S.F.W.,1,0,1,0,0
382,26352,A Low Down Dirty Shame,1,0,1,0,0
383,39953,"Boys Life: Three Stories of Love, Lust, and Liberation",1,0,1,0,0
384,41580,Colonel Chabert,0,1,0,1,0
385,315,"Faster, Pussycat! Kill! Kill!",1,0,1,0,0
386,22067,Jason's Lyric,1,0,1,0,0
387,18242,The Secret Adventures of Tom Thumb,1,0,0,1,0
388,11667,Street Fighter,1,0,0,0,1
389,32502,Coldblooded,1,0,1,0,0
390,267188,Desert Winds,1,0,0,0,0
391,28732,Fall Time,1,0,1,0,0
392,75555,The Fear,1,0,1,0,0
393,42981,Frank and Ollie,1,0,1,0,0
394,278939,Girl in the Cadillac,1,0,1,0,0
395,291731,Homage,1,0,1,0,0
396,226229,Mirage,1,0,0,0,0
397,203119,Open Season,1,0,1,0,0
398,172923,Dos Crímenes,1,0,0,0,0
399,316098,Brother Minister: The Assassination of Malcolm X,1,0,0,0,0
400,8011,Highlander: The Final Dimension,1,0,0,0,1
401,171857,Federal Hill,1,0,0,0,0
402,2654,In the Mouth of Madness,1,0,1,0,0
403,18069,8 Seconds,1,0,1,0,0
404,19092,Above the Rim,1,0,1,0,0
405,2758,Addams Family Values,1,0,1,0,0
406,38129,Martin Lawrence: You So Crazy,1,0,1,0,0
407,10436,The Age of Innocence,1,0,1,0,0
408,13595,Airheads,1,0,1,0,0
409,46094,The Air Up There,1,0,1,0,0
410,9409,Another Stakeout,1,0,1,0,0
411,11853,Bad Girls,1,0,1,0,0
412,16771,Barcelona,1,0,1,0,0
413,46924,Being Human,1,0,0,0,1
414,11041,The Beverly Hillbillies,1,0,1,0,0
415,306,Beverly Hills Cop III,1,0,1,0,0
416,14522,Black Beauty,1,0,0,0,1
417,26203,Blink,1,0,1,0,0
418,178,Blown Away,1,0,1,0,0
419,19819,Blue Chips,1,0,1,0,0
420,57834,Blue Sky,1,0,1,0,0
421,4722,Body Snatchers,1,0,1,0,0
422,18215,Boxing Helena,1,0,1,0,0
423,1607,A Bronx Tale,1,0,1,0,0
424,26391,Cabin Boy,1,0,1,0,0
425,117553,Calendar Girl,1,0,1,0,0
426,6075,Carlito's Way,1,0,1,0,0
427,11310,City Slickers II: The Legend of Curly's Gold,1,0,1,0,0
428,18658,Clean Slate,1,0,1,0,0
429,9350,Cliffhanger,1,0,0,0,1
430,9612,Coneheads,1,0,1,0,0
431,2124,Color of Night,1,0,1,0,0
432,26261,Cops & Robbersons,1,0,1,0,0
433,19176,The Cowboy Way,1,0,1,0,0
434,49299,Dangerous Game,1,0,1,0,0
435,11566,Dave,1,0,1,0,0
436,9571,Dazed and Confused,1,0,1,0,0
437,9739,Demolition Man,1,0,1,0,0
438,24257,The Endless Summer 2,1,0,1,0,0
439,34444,Even Cowgirls Get the Blues,1,0,1,0,0
440,26141,Fatal Instinct,1,0,1,0,0
441,10997,Farewell My Concubine,0,1,0,0,1
442,50463,The Favor,1,0,1,0,0
443,10443,Fearless,1,0,1,0,0
444,20239,Fear of a Black Hat,1,0,0,0,1
445,16297,With Honors,1,0,1,0,0
446,18551,Flesh and Bone,1,0,1,0,0
447,25440,Widows' Peak,1,0,0,0,1
448,9024,For Love or Money,1,0,1,0,0
449,37233,The Firm,1,0,1,0,0
450,1634,Free Willy,1,0,0,0,1
451,13815,Fresh,1,0,0,0,1
452,5503,The Fugitive,1,0,1,0,0
453,35588,Geronimo: An American Legend,1,0,1,0,0
454,2087,The Getaway,1,0,0,0,1
455,41579,Getting Even with Dad,1,0,1,0,0
456,18620,Go Fish,1,0,1,0,0
457,41006,A Good Man in Africa,1,0,0,0,1
458,4916,Guilty as Sin,1,0,1,0,0
459,2019,Hard Target,1,0,1,0,0
460,31642,Heaven & Earth,1,0,0,0,1
461,9255,Hot Shots! Part Deux,1,0,1,0,0
462,26271,Live Nude Girls,1,0,1,0,0
463,10612,The Englishman Who Went Up a Hill But Came Down a Mountain,1,0,0,1,0
464,2259,The House of the Spirits,1,0,0,0,1
465,16097,House Party 3,1,0,0,0,0
466,11934,The Hudsucker Proxy,1,0,0,0,1
467,106143,I'll Do Anything,1,0,1,0,0
468,12475,In the Army Now,1,0,1,0,0
469,9386,In the Line of Fire,1,0,1,0,0
470,7984,In the Name of the Father,1,0,0,0,1
471,59930,The Inkwell,1,0,1,0,0
472,15765,What's Love Got to Do with It,1,0,1,0,0
473,31643,Jimmy Hollywood,1,0,1,0,0
474,6,Judgment Night,1,0,0,0,1
475,329,Jurassic Park,1,0,1,0,0
476,10909,Kalifornia,1,0,1,0,0
477,507,Killing Zoe,1,0,0,0,1
478,34024,King of the Hill,1,0,1,0,0
479,29918,Lassie,1,0,1,0,0
480,9593,Last Action Hero,1,0,1,0,0
481,42580,Life With Mikey,1,0,1,0,0
482,22317,Lightning Jack,1,0,0,0,1
483,1413,M. Butterfly,1,0,1,0,0
484,12121,Made in America,1,0,0,0,1
485,2246,Malice,1,0,1,0,0
486,10502,The Man without a Face,1,0,1,0,0
487,10440,Manhattan Murder Mystery,1,0,1,0,0
488,9516,Menace II Society,1,0,1,0,0
489,2320,Executive Decision,1,0,1,0,0
490,5879,In the Realm of the Senses,0,1,0,1,0
491,83718,What Happened Was...,1,0,1,0,0
492,11971,Much Ado About Nothing,1,0,0,0,1
493,2625,Mr. Jones,1,0,1,0,0
494,31911,Mr. Wonderful,1,0,1,0,0
495,788,Mrs. Doubtfire,1,0,1,0,0
496,21450,Naked,1,0,0,1,0
497,11231,The Next Karate Kid,1,0,1,0,0
498,41588,The New Age,1,0,1,0,0
499,10447,No Escape,1,0,1,0,0
500,31586,North,1,0,1,0,0
501,9300,Orlando,1,0,0,0,1
502,9559,A Perfect World,1,0,1,0,0
503,9800,Philadelphia,1,0,1,0,0
504,713,The Piano,1,0,0,0,1
505,8291,Poetic Justice,1,0,1,0,0
506,18133,The Program,1,0,1,0,0
507,25557,The Puppet Masters,1,0,1,0,0
508,22588,Radioland Murders,1,0,1,0,0
509,10872,The Ref,1,0,1,0,0
510,1245,The Remains of the Day,1,0,0,0,1
511,11858,Renaissance Man,1,0,0,0,1
512,7007,Rising Sun,1,0,1,0,0
513,10467,The Road to Wellville,1,0,1,0,0
514,5550,RoboCop 3,1,0,1,0,0
515,8005,Robin Hood: Men in Tights,1,0,0,0,1
516,2088,Romeo Is Bleeding,1,0,0,0,1
517,10412,Romper Stomper,1,0,0,1,0
518,47889,Ruby in Paradise,1,0,1,0,0
519,14534,Rudy,1,0,1,0,0
520,56583,The Saint of Fort Washington,1,0,1,0,0
521,41878,Savage Nights,0,1,0,0,1
522,424,Schindler's List,1,0,1,0,0
523,35233,The Scout,1,0,1,0,0
524,14291,Searching for Bobby Fischer,1,0,1,0,0
525,103413,Second Best,1,0,0,0,1
526,11236,The Secret Garden,1,0,1,0,0
527,11592,Serial Mom,1,0,1,0,0
528,8850,The Shadow,1,0,1,0,0
529,10445,Shadowlands,1,0,0,1,0
530,695,Short Cuts,1,0,1,0,0
531,43535,A Simple Twist of Fate,1,0,1,0,0
532,12519,Sirens,1,0,0,0,1
533,23210,Six Degrees of Separation,1,0,1,0,0
534,858,Sleepless in Seattle,1,0,1,0,0
535,867,Sliver,1,0,1,0,0
536,78,Blade Runner,1,0,1,0,1
537,13203,Son in Law,1,0,1,0,0
538,10442,So I Married an Axe Murderer,1,0,1,0,0
539,11074,Striking Distance,1,0,1,0,0
540,33367,Harem,1,0,0,0,0
541,9607,Super Mario Bros.,1,0,0,0,1
542,17585,Surviving the Game,1,0,1,0,0
543,9057,Terminal Velocity,1,0,1,0,0
544,20967,Thirty Two Short Films About Glenn Gould,1,0,0,0,1
545,10635,Threesome,1,0,1,0,0
546,9479,The Nightmare Before Christmas,1,0,1,0,0
547,10057,The Three Musketeers,1,0,1,0,1
548,11969,Tombstone,1,0,1,0,0
549,41590,Trial by Jury,1,0,1,0,0
550,319,True Romance,1,0,1,0,0
551,26408,The War Room,1,0,1,0,0
552,15139,The Pagemaster,1,0,1,0,0
553,161158,"Paris, France",1,0,0,1,0
554,218473,"The Beans of Egypt, Maine",1,0,0,0,0
555,85247,Killer,1,0,0,0,1
556,11446,Welcome to the Dollhouse,1,0,1,0,0
557,51980,Germinal,1,0,0,0,1
558,24405,Chasers,1,0,1,0,0
559,11655,Cronos,1,0,0,1,0
560,11800,Naked in New York,1,0,1,0,0
561,8223,Kika,0,1,0,0,1
562,14587,Bhaji on the Beach,1,0,0,1,0
563,31504,Little Big League,1,0,1,0,0
564,41653,The Slingshot,0,1,0,0,1
565,53185,Wide Eyed and Legless,1,0,0,0,0
566,95743,Foreign Student,1,0,0,0,0
567,23637,"Ciao, Professore!",1,0,0,1,0
568,17600,Spanking the Monkey,1,0,1,0,0
569,10897,The Little Rascals,1,0,1,0,0
570,349394,À la mode,1,0,0,0,0
571,21352,Andre,1,0,1,0,0
572,68806,The Escort,0,1,0,1,0
573,37345,Princess Caraboo,1,0,0,0,0
574,32562,The Celluloid Closet,1,0,1,0,0
575,47507,Café au Lait,1,0,0,0,1
576,25403,Dear Diary,0,1,0,0,1
577,124304,I Don't Want to Talk About It,1,0,0,0,1
578,9066,The Brady Bunch Movie,1,0,1,0,0
579,771,Home Alone,1,0,1,0,0
580,251,Ghost,1,0,1,0,0
581,812,Aladdin,1,0,1,0,0
582,280,Terminator 2: Judgment Day,1,0,0,0,1
583,581,Dances with Wolves,1,0,0,0,1
584,80350,Tough and Deadly,1,0,1,0,0
585,268,Batman,1,0,0,0,1
586,274,The Silence of the Lambs,1,0,1,0,0
587,408,Snow White and the Seven Dwarfs,1,0,1,0,0
588,10020,Beauty and the Beast,1,0,1,0,0
589,10895,Pinocchio,1,0,1,0,0
590,114,Pretty Woman,1,0,1,0,0
591,41043,Window to Paris,0,1,0,0,1
592,576,The Wild Bunch,1,0,1,0,0
593,15477,Love and a .45,1,0,1,0,0
594,59146,The Wooden Man's Bride,1,0,0,1,0
595,124472,A Great Day in Harlem,1,0,0,0,0
596,30528,Bye Bye Love,1,0,1,0,0
597,7300,One Fine Day,1,0,1,0,0
